instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,8
1,MultiStartGreedyGraphColoringHeuristic,8
1,DSATUR,6
2,NaiveGreedyGraphColoringHeuristic,10
2,MultiStartGreedyGraphColoringHeuristic,9
2,DSATUR,6
3,NaiveGreedyGraphColoringHeuristic,9
3,MultiStartGreedyGraphColoringHeuristic,8
3,DSATUR,5
4,NaiveGreedyGraphColoringHeuristic,11
4,MultiStartGreedyGraphColoringHeuristic,10
4,DSATUR,7
5,NaiveGreedyGraphColoringHeuristic,10
5,MultiStartGreedyGraphColoringHeuristic,9
5,DSATUR,6
6,NaiveGreedyGraphColoringHeuristic,9
6,MultiStartGreedyGraphColoringHeuristic,8
6,DSATUR,6
7,NaiveGreedyGraphColoringHeuristic,10
7,MultiStartGreedyGraphColoringHeuristic,9
7,DSATUR,6
8,NaiveGreedyGraphColoringHeuristic,13
8,MultiStartGreedyGraphColoringHeuristic,12
8,DSATUR,8
9,NaiveGreedyGraphColoringHeuristic,11
9,MultiStartGreedyGraphColoringHeuristic,12
9,DSATUR,8
10,NaiveGreedyGraphColoringHeuristic,11
10,MultiStartGreedyGraphColoringHeuristic,10
10,DSATUR,8
11,NaiveGreedyGraphColoringHeuristic,12
11,MultiStartGreedyGraphColoringHeuristic,12
11,DSATUR,8
12,NaiveGreedyGraphColoringHeuristic,14
12,MultiStartGreedyGraphColoringHeuristic,13
12,DSATUR,8
13,NaiveGreedyGraphColoringHeuristic,15
13,MultiStartGreedyGraphColoringHeuristic,11
