instance,solver,metric
jean.col,ASSILPSolverCPSat Preprocessed,10
jean.col,ASS_S_ILPSolverCPSat Preprocessed,10
jean.col,ASSILPSolverGurobi Preprocessed,10
jean.col,ASS_S_ILPSolverGurobi Preprocessed,10
jean.col,NotEqualSolver Preprocessed,10
jean.col,AllDifferentSolver Preprocessed,10
jean.col,PYSATSolver Preprocessed,10
huck.col,ASSILPSolverCPSat Preprocessed,11
huck.col,ASS_S_ILPSolverCPSat Preprocessed,11
huck.col,ASSILPSolverGurobi Preprocessed,11
huck.col,ASS_S_ILPSolverGurobi Preprocessed,11
huck.col,NotEqualSolver Preprocessed,11
huck.col,AllDifferentSolver Preprocessed,11
huck.col,PYSATSolver Preprocessed,11
zeroin.i.1.col,ASSILPSolverCPSat Preprocessed,49
zeroin.i.1.col,ASS_S_ILPSolverCPSat Preprocessed,49
zeroin.i.1.col,ASSILPSolverGurobi Preprocessed,49
zeroin.i.1.col,ASS_S_ILPSolverGurobi Preprocessed,49
zeroin.i.1.col,NotEqualSolver Preprocessed,49
zeroin.i.1.col,AllDifferentSolver Preprocessed,49
zeroin.i.1.col,PYSATSolver Preprocessed,49
fpsol2.i.1.col,ASSILPSolverCPSat Preprocessed,65
fpsol2.i.1.col,ASS_S_ILPSolverCPSat Preprocessed,65
fpsol2.i.1.col,ASSILPSolverGurobi Preprocessed,65
fpsol2.i.1.col,ASS_S_ILPSolverGurobi Preprocessed,65
fpsol2.i.1.col,NotEqualSolver Preprocessed,65
fpsol2.i.1.col,AllDifferentSolver Preprocessed,65
fpsol2.i.1.col,PYSATSolver Preprocessed,65
fpsol2.i.2.col,ASSILPSolverCPSat Preprocessed,30
fpsol2.i.2.col,ASS_S_ILPSolverCPSat Preprocessed,30
fpsol2.i.2.col,ASSILPSolverGurobi Preprocessed,30
fpsol2.i.2.col,ASS_S_ILPSolverGurobi Preprocessed,30
fpsol2.i.2.col,NotEqualSolver Preprocessed,30
fpsol2.i.2.col,AllDifferentSolver Preprocessed,30
fpsol2.i.2.col,PYSATSolver Preprocessed,30
fpsol2.i.3.col,ASSILPSolverCPSat Preprocessed,30
fpsol2.i.3.col,ASS_S_ILPSolverCPSat Preprocessed,30
fpsol2.i.3.col,ASSILPSolverGurobi Preprocessed,30
fpsol2.i.3.col,ASS_S_ILPSolverGurobi Preprocessed,30
fpsol2.i.3.col,NotEqualSolver Preprocessed,30
fpsol2.i.3.col,AllDifferentSolver Preprocessed,30
fpsol2.i.3.col,PYSATSolver Preprocessed,30
le450_15b.col,ASSILPSolverCPSat Preprocessed,15
le450_15b.col,ASS_S_ILPSolverCPSat Preprocessed,15
le450_15b.col,ASSILPSolverGurobi Preprocessed,17
le450_15b.col,ASS_S_ILPSolverGurobi Preprocessed,17
le450_15b.col,NotEqualSolver Preprocessed,15
le450_15b.col,AllDifferentSolver Preprocessed,15
le450_15b.col,PYSATSolver Preprocessed,15
le450_15c.col,ASSILPSolverCPSat Preprocessed,21
le450_15c.col,ASS_S_ILPSolverCPSat Preprocessed,21
le450_15c.col,ASSILPSolverGurobi Preprocessed,24
le450_15c.col,NotEqualSolver Preprocessed,23
le450_15c.col,AllDifferentSolver Preprocessed,23
le450_15c.col,PYSATSolver Preprocessed,22
le450_15d.col,ASSILPSolverCPSat Preprocessed,21
le450_15d.col,ASS_S_ILPSolverCPSat Preprocessed,21
le450_15d.col,ASSILPSolverGurobi Preprocessed,24
le450_15d.col,ASS_S_ILPSolverGurobi Preprocessed,24
le450_15d.col,NotEqualSolver Preprocessed,23
le450_15d.col,AllDifferentSolver Preprocessed,22
le450_15d.col,PYSATSolver Preprocessed,22
le450_25a.col,ASSILPSolverCPSat Preprocessed,25
