instance,solver,metric
jean.col,ASSILPSolverCPSat,10
jean.col,ASS_S_ILPSolverCPSat,10
jean.col,ASSILPSolverGurobi,10
jean.col,ASS_S_ILPSolverGurobi,10
jean.col,NotEqualSolver,10
jean.col,AllDifferentSolver,10
jean.col,PYSATSolver,10
huck.col,ASSILPSolverCPSat,11
huck.col,ASS_S_ILPSolverCPSat,11
huck.col,ASSILPSolverGurobi,11
huck.col,ASS_S_ILPSolverGurobi,11
huck.col,NotEqualSolver,11
huck.col,AllDifferentSolver,11
huck.col,PYSATSolver,11
zeroin.i.1.col,ASSILPSolverCPSat,49
zeroin.i.1.col,ASS_S_ILPSolverCPSat,49
zeroin.i.1.col,ASSILPSolverGurobi,49
zeroin.i.1.col,ASS_S_ILPSolverGurobi,49
zeroin.i.1.col,NotEqualSolver,49
zeroin.i.1.col,AllDifferentSolver,49
zeroin.i.1.col,PYSATSolver,49
le450_15b.col,ASSILPSolverCPSat,15
le450_15b.col,ASS_S_ILPSolverCPSat,15
le450_15b.col,ASSILPSolverGurobi,17
le450_15b.col,ASS_S_ILPSolverGurobi,17
le450_15b.col,NotEqualSolver,15
le450_15b.col,AllDifferentSolver,15
le450_15b.col,PYSATSolver,15
