instance,solver,metric
barabasi_albert_1,ASSILPSolverCPSat,24
barabasi_albert_1,ASS_S_ILPSolverCPSat,24
barabasi_albert_1,REPILPSolverCPSat,24
barabasi_albert_1,ASSILPSolverGurobi,24
barabasi_albert_1,ASS_S_ILPSolverGurobi,24
barabasi_albert_1,REPILPSolverGurobi,24
barabasi_albert_1,NotEqualSolver,24
barabasi_albert_1,AllDifferentSolver,24
barabasi_albert_1,PYSATSolver,24
barabasi_albert_2,ASSILPSolverCPSat,22
barabasi_albert_2,ASS_S_ILPSolverCPSat,22
barabasi_albert_2,REPILPSolverCPSat,22
barabasi_albert_2,ASSILPSolverGurobi,22
barabasi_albert_2,ASS_S_ILPSolverGurobi,22
barabasi_albert_2,REPILPSolverGurobi,23
barabasi_albert_2,NotEqualSolver,22
barabasi_albert_2,AllDifferentSolver,22
barabasi_albert_2,PYSATSolver,22
barabasi_albert_3,ASSILPSolverCPSat,25
barabasi_albert_3,ASS_S_ILPSolverCPSat,25
barabasi_albert_3,REPILPSolverCPSat,25
barabasi_albert_3,ASSILPSolverGurobi,25
barabasi_albert_3,ASS_S_ILPSolverGurobi,25
barabasi_albert_3,REPILPSolverGurobi,25
barabasi_albert_3,NotEqualSolver,25
barabasi_albert_3,AllDifferentSolver,25
barabasi_albert_3,PYSATSolver,25
barabasi_albert_4,ASSILPSolverCPSat,23
barabasi_albert_4,ASS_S_ILPSolverCPSat,23
barabasi_albert_4,REPILPSolverCPSat,23
barabasi_albert_4,ASSILPSolverGurobi,23
barabasi_albert_4,ASS_S_ILPSolverGurobi,23
barabasi_albert_4,REPILPSolverGurobi,23
barabasi_albert_4,NotEqualSolver,23
barabasi_albert_4,AllDifferentSolver,23
barabasi_albert_4,PYSATSolver,23
barabasi_albert_5,ASSILPSolverCPSat,21
barabasi_albert_5,ASS_S_ILPSolverCPSat,21
barabasi_albert_5,REPILPSolverCPSat,21
barabasi_albert_5,ASSILPSolverGurobi,21
barabasi_albert_5,ASS_S_ILPSolverGurobi,21
barabasi_albert_5,REPILPSolverGurobi,21
barabasi_albert_5,NotEqualSolver,21
barabasi_albert_5,AllDifferentSolver,21
barabasi_albert_5,PYSATSolver,21
barabasi_albert_6,ASSILPSolverCPSat,22
barabasi_albert_6,ASS_S_ILPSolverCPSat,22
barabasi_albert_6,REPILPSolverCPSat,22
barabasi_albert_6,ASSILPSolverGurobi,22
barabasi_albert_6,ASS_S_ILPSolverGurobi,22
barabasi_albert_6,REPILPSolverGurobi,22
barabasi_albert_6,NotEqualSolver,22
barabasi_albert_6,AllDifferentSolver,22
barabasi_albert_6,PYSATSolver,22
barabasi_albert_7,ASSILPSolverCPSat,22
barabasi_albert_7,ASS_S_ILPSolverCPSat,22
barabasi_albert_7,REPILPSolverCPSat,23
barabasi_albert_7,ASSILPSolverGurobi,22
barabasi_albert_7,ASS_S_ILPSolverGurobi,22
barabasi_albert_7,REPILPSolverGurobi,22
barabasi_albert_7,NotEqualSolver,22
barabasi_albert_7,AllDifferentSolver,22
barabasi_albert_7,PYSATSolver,22
barabasi_albert_8,ASSILPSolverCPSat,23
barabasi_albert_8,ASS_S_ILPSolverCPSat,23
barabasi_albert_8,REPILPSolverCPSat,23
barabasi_albert_8,ASSILPSolverGurobi,23
barabasi_albert_8,ASS_S_ILPSolverGurobi,23
barabasi_albert_8,REPILPSolverGurobi,24
barabasi_albert_8,NotEqualSolver,23
barabasi_albert_8,AllDifferentSolver,23
barabasi_albert_8,PYSATSolver,23
barabasi_albert_9,ASSILPSolverCPSat,21
barabasi_albert_9,ASS_S_ILPSolverCPSat,21
barabasi_albert_9,REPILPSolverCPSat,21
barabasi_albert_9,ASSILPSolverGurobi,21
barabasi_albert_9,ASS_S_ILPSolverGurobi,21
barabasi_albert_9,REPILPSolverGurobi,23
barabasi_albert_9,NotEqualSolver,21
barabasi_albert_9,AllDifferentSolver,21
barabasi_albert_9,PYSATSolver,21
barabasi_albert_10,ASSILPSolverCPSat,22
barabasi_albert_10,ASS_S_ILPSolverCPSat,22
barabasi_albert_10,REPILPSolverCPSat,23
barabasi_albert_10,ASSILPSolverGurobi,22
barabasi_albert_10,ASS_S_ILPSolverGurobi,22
barabasi_albert_10,REPILPSolverGurobi,22
barabasi_albert_10,NotEqualSolver,22
barabasi_albert_10,AllDifferentSolver,22
barabasi_albert_10,PYSATSolver,22
barabasi_albert_1,ASSILPSolverCPSat Preprocessed,24
barabasi_albert_1,ASS_S_ILPSolverCPSat Preprocessed,24
barabasi_albert_1,REPILPSolverCPSat Preprocessed,24
barabasi_albert_1,ASSILPSolverGurobi Preprocessed,24
barabasi_albert_1,ASS_S_ILPSolverGurobi Preprocessed,24
barabasi_albert_1,REPILPSolverGurobi Preprocessed,24
barabasi_albert_1,NotEqualSolver Preprocessed,24
barabasi_albert_1,AllDifferentSolver Preprocessed,24
barabasi_albert_1,PYSATSolver Preprocessed,24
barabasi_albert_2,ASSILPSolverCPSat Preprocessed,22
barabasi_albert_2,ASS_S_ILPSolverCPSat Preprocessed,22
barabasi_albert_2,REPILPSolverCPSat Preprocessed,22
barabasi_albert_2,ASSILPSolverGurobi Preprocessed,22
barabasi_albert_2,ASS_S_ILPSolverGurobi Preprocessed,22
barabasi_albert_2,REPILPSolverGurobi Preprocessed,23
barabasi_albert_2,NotEqualSolver Preprocessed,22
