instance,solver,metric
jean.col,ASSILPSolverCPSat,10.0
jean.col,ASS_S_ILPSolverCPSat,10.0
jean.col,ASSILPSolverGurobi,10.0
jean.col,ASS_S_ILPSolverGurobi,10.0
jean.col,NotEqualSolver,10.0
jean.col,AllDifferentSolver,10.0
huck.col,ASSILPSolverCPSat,11.0
huck.col,ASS_S_ILPSolverCPSat,11.0
huck.col,ASSILPSolverGurobi,11.0
huck.col,ASS_S_ILPSolverGurobi,11.0
huck.col,NotEqualSolver,11.0
huck.col,AllDifferentSolver,11.0
zeroin.i.1.col,ASSILPSolverCPSat,49.0
zeroin.i.1.col,ASS_S_ILPSolverCPSat,49.0
zeroin.i.1.col,ASSILPSolverGurobi,49.0
zeroin.i.1.col,ASS_S_ILPSolverGurobi,49.0
zeroin.i.1.col,NotEqualSolver,49.0
zeroin.i.1.col,AllDifferentSolver,49.0
fpsol2.i.1.col,ASSILPSolverCPSat,59.0
fpsol2.i.1.col,ASS_S_ILPSolverCPSat,59.0
fpsol2.i.1.col,ASSILPSolverGurobi,51.0
fpsol2.i.1.col,ASS_S_ILPSolverGurobi,51.0
fpsol2.i.1.col,NotEqualSolver,51.0
fpsol2.i.1.col,AllDifferentSolver,65.0
fpsol2.i.2.col,ASSILPSolverCPSat,30.0
fpsol2.i.2.col,ASS_S_ILPSolverCPSat,30.0
fpsol2.i.2.col,ASSILPSolverGurobi,30.0
fpsol2.i.2.col,ASS_S_ILPSolverGurobi,30.0
fpsol2.i.2.col,NotEqualSolver,30.0
fpsol2.i.2.col,AllDifferentSolver,30.0
fpsol2.i.3.col,ASSILPSolverCPSat,30.0
fpsol2.i.3.col,ASS_S_ILPSolverCPSat,30.0
fpsol2.i.3.col,ASSILPSolverGurobi,30.0
fpsol2.i.3.col,ASS_S_ILPSolverGurobi,30.0
fpsol2.i.3.col,NotEqualSolver,30.0
fpsol2.i.3.col,AllDifferentSolver,30.0
le450_15b.col,ASSILPSolverCPSat,15.0
le450_15b.col,ASS_S_ILPSolverCPSat,15.0
le450_15b.col,ASSILPSolverGurobi,15.0
le450_15b.col,ASS_S_ILPSolverGurobi,15.0
le450_15b.col,NotEqualSolver,15.0
le450_15b.col,AllDifferentSolver,15.0
le450_15c.col,ASSILPSolverCPSat,9.0
le450_15c.col,ASS_S_ILPSolverCPSat,9.0
le450_15c.col,ASSILPSolverGurobi,15.0
le450_15c.col,NotEqualSolver,15.0
le450_15c.col,AllDifferentSolver,15.0
le450_15d.col,ASSILPSolverCPSat,9.0
le450_15d.col,ASS_S_ILPSolverCPSat,10.0
le450_15d.col,ASSILPSolverGurobi,15.0
le450_15d.col,ASS_S_ILPSolverGurobi,15.0
le450_15d.col,NotEqualSolver,15.0
le450_15d.col,AllDifferentSolver,15.0
le450_25a.col,ASSILPSolverCPSat,25.0
le450_25a.col,ASS_S_ILPSolverCPSat,25.0
le450_25a.col,ASSILPSolverGurobi,25.0
le450_25a.col,ASS_S_ILPSolverGurobi,25.0
le450_25a.col,NotEqualSolver,25.0
le450_25a.col,AllDifferentSolver,25.0
le450_25b.col,ASSILPSolverCPSat,25.0
le450_25b.col,ASS_S_ILPSolverCPSat,25.0
le450_25b.col,ASSILPSolverGurobi,25.0
le450_25b.col,ASS_S_ILPSolverGurobi,25.0
le450_25b.col,NotEqualSolver,25.0
le450_25b.col,AllDifferentSolver,25.0
le450_25c.col,ASSILPSolverCPSat,11.0
le450_25c.col,ASS_S_ILPSolverCPSat,9.0
le450_25c.col,NotEqualSolver,25.0
le450_25c.col,AllDifferentSolver,25.0
le450_25d.col,ASSILPSolverCPSat,12.0
le450_25d.col,ASS_S_ILPSolverCPSat,9.0
le450_25d.col,ASSILPSolverGurobi,25.0
le450_25d.col,NotEqualSolver,25.0
le450_25d.col,AllDifferentSolver,25.0
le450_5a.col,ASSILPSolverCPSat,5.0
le450_5a.col,ASS_S_ILPSolverCPSat,5.0
le450_5a.col,ASSILPSolverGurobi,0.0
le450_5a.col,ASS_S_ILPSolverGurobi,0.0
le450_5a.col,NotEqualSolver,5.0
le450_5a.col,AllDifferentSolver,5.0
le450_5b.col,ASSILPSolverCPSat,5.0
le450_5b.col,ASS_S_ILPSolverCPSat,5.0
le450_5b.col,NotEqualSolver,5.0
le450_5b.col,AllDifferentSolver,5.0
le450_5c.col,ASSILPSolverCPSat,5.0
le450_5c.col,ASS_S_ILPSolverCPSat,5.0
le450_5c.col,ASSILPSolverGurobi,5.0
le450_5c.col,ASS_S_ILPSolverGurobi,5.0
le450_5c.col,NotEqualSolver,5.0
le450_5c.col,AllDifferentSolver,5.0
le450_5d.col,ASSILPSolverCPSat,5.0
le450_5d.col,ASS_S_ILPSolverCPSat,5.0
le450_5d.col,ASSILPSolverGurobi,5.0
le450_5d.col,ASS_S_ILPSolverGurobi,5.0
le450_5d.col,NotEqualSolver,5.0
le450_5d.col,AllDifferentSolver,5.0
le450_15c.col,ASS_S_ILPSolverGurobi,0.0
le450_25c.col,ASSILPSolverGurobi,0.0
le450_25c.col,ASS_S_ILPSolverGurobi,0.0
le450_25d.col,ASS_S_ILPSolverGurobi,0.0
le450_5b.col,ASSILPSolverGurobi,0.0
le450_5b.col,ASS_S_ILPSolverGurobi,0.0
