instance,solver,metric
barabasi_albert_1,ASSILPSolverCPSat,15.0
barabasi_albert_1,ASS_S_ILPSolverCPSat,16.0
barabasi_albert_1,ASSILPSolverGurobi,23.000000000000057
barabasi_albert_1,ASS_S_ILPSolverGurobi,23.000000000000053
barabasi_albert_1,NotEqualSolver,22.0
barabasi_albert_1,AllDifferentSolver,22.0
barabasi_albert_2,ASSILPSolverCPSat,16.0
barabasi_albert_2,ASS_S_ILPSolverCPSat,16.0
barabasi_albert_2,ASSILPSolverGurobi,22.000000000000153
barabasi_albert_2,ASS_S_ILPSolverGurobi,22.0
barabasi_albert_2,NotEqualSolver,20.0
barabasi_albert_2,AllDifferentSolver,20.0
barabasi_albert_3,ASSILPSolverCPSat,16.0
barabasi_albert_3,ASS_S_ILPSolverCPSat,9.0
barabasi_albert_3,ASSILPSolverGurobi,25.0
barabasi_albert_3,ASS_S_ILPSolverGurobi,25.0
barabasi_albert_3,NotEqualSolver,21.0
barabasi_albert_3,AllDifferentSolver,21.0
barabasi_albert_4,ASSILPSolverCPSat,9.0
barabasi_albert_4,ASS_S_ILPSolverCPSat,9.0
barabasi_albert_4,ASSILPSolverGurobi,23.0
barabasi_albert_4,ASS_S_ILPSolverGurobi,22.00000000000008
barabasi_albert_4,NotEqualSolver,22.0
barabasi_albert_4,AllDifferentSolver,22.0
barabasi_albert_5,ASSILPSolverCPSat,11.0
barabasi_albert_5,ASS_S_ILPSolverCPSat,15.0
barabasi_albert_5,ASSILPSolverGurobi,20.000000000000025
barabasi_albert_5,ASS_S_ILPSolverGurobi,20.000000000000036
barabasi_albert_5,NotEqualSolver,19.0
barabasi_albert_5,AllDifferentSolver,19.0
barabasi_albert_6,ASSILPSolverCPSat,13.0
barabasi_albert_6,ASS_S_ILPSolverCPSat,13.0
barabasi_albert_6,ASSILPSolverGurobi,22.0
barabasi_albert_6,ASS_S_ILPSolverGurobi,21.0
barabasi_albert_6,NotEqualSolver,20.0
barabasi_albert_6,AllDifferentSolver,20.0
barabasi_albert_7,ASSILPSolverCPSat,14.0
barabasi_albert_7,ASS_S_ILPSolverCPSat,16.0
barabasi_albert_7,ASSILPSolverGurobi,22.0
barabasi_albert_7,ASS_S_ILPSolverGurobi,22.000000000000007
barabasi_albert_7,NotEqualSolver,21.0
barabasi_albert_7,AllDifferentSolver,21.0
barabasi_albert_8,ASSILPSolverCPSat,9.0
barabasi_albert_8,ASS_S_ILPSolverCPSat,14.0
barabasi_albert_8,ASSILPSolverGurobi,21.00000000000003
barabasi_albert_8,ASS_S_ILPSolverGurobi,21.00000000000005
barabasi_albert_8,NotEqualSolver,19.0
barabasi_albert_8,AllDifferentSolver,19.0
barabasi_albert_9,ASSILPSolverCPSat,12.0
barabasi_albert_9,ASS_S_ILPSolverCPSat,10.0
barabasi_albert_9,ASSILPSolverGurobi,20.000000000000032
barabasi_albert_9,ASS_S_ILPSolverGurobi,20.000000000000014
barabasi_albert_9,NotEqualSolver,18.0
barabasi_albert_9,AllDifferentSolver,18.0
barabasi_albert_10,ASSILPSolverCPSat,12.0
barabasi_albert_10,ASS_S_ILPSolverCPSat,14.0
barabasi_albert_10,ASSILPSolverGurobi,22.0
barabasi_albert_10,ASS_S_ILPSolverGurobi,22.0
barabasi_albert_10,NotEqualSolver,22.0
barabasi_albert_10,AllDifferentSolver,22.0
