instance,solver,metric
kneser_graph_1,ASSILPSolverCPSat,8.0
kneser_graph_1,ASS_S_ILPSolverCPSat,8.0
kneser_graph_1,ASSILPSolverGurobi,10.0
kneser_graph_1,ASS_S_ILPSolverGurobi,10.0
kneser_graph_1,NotEqualSolver,7.0
kneser_graph_1,AllDifferentSolver,7.0
kneser_graph_2,ASSILPSolverCPSat,9.0
kneser_graph_2,ASS_S_ILPSolverCPSat,9.0
kneser_graph_2,ASSILPSolverGurobi,7.000000000000446
kneser_graph_2,ASS_S_ILPSolverGurobi,7.000000000001977
kneser_graph_2,NotEqualSolver,8.0
kneser_graph_2,AllDifferentSolver,8.0
kneser_graph_3,ASSILPSolverCPSat,8.0
kneser_graph_3,ASS_S_ILPSolverCPSat,8.0
kneser_graph_3,ASSILPSolverGurobi,9.0
kneser_graph_3,ASS_S_ILPSolverGurobi,9.0
kneser_graph_3,NotEqualSolver,7.0
kneser_graph_3,AllDifferentSolver,8.0
kneser_graph_4,ASSILPSolverCPSat,5.0
kneser_graph_4,ASS_S_ILPSolverCPSat,5.0
kneser_graph_4,ASSILPSolverGurobi,3.0
kneser_graph_4,ASS_S_ILPSolverGurobi,3.0
kneser_graph_4,NotEqualSolver,4.0
kneser_graph_4,AllDifferentSolver,4.0
kneser_graph_5,ASSILPSolverCPSat,5.0
kneser_graph_5,ASS_S_ILPSolverCPSat,5.0
kneser_graph_5,ASSILPSolverGurobi,3.0
kneser_graph_5,ASS_S_ILPSolverGurobi,3.0
kneser_graph_5,NotEqualSolver,4.0
kneser_graph_5,AllDifferentSolver,4.0
kneser_graph_6,ASSILPSolverCPSat,8.0
kneser_graph_6,ASS_S_ILPSolverCPSat,9.0
kneser_graph_6,ASSILPSolverGurobi,9.0
kneser_graph_6,ASS_S_ILPSolverGurobi,8.0
kneser_graph_6,NotEqualSolver,8.0
kneser_graph_6,AllDifferentSolver,8.0
kneser_graph_7,ASSILPSolverCPSat,8.0
kneser_graph_7,ASS_S_ILPSolverCPSat,8.0
kneser_graph_7,ASSILPSolverGurobi,10.0
kneser_graph_7,ASS_S_ILPSolverGurobi,10.0
kneser_graph_7,NotEqualSolver,7.0
kneser_graph_7,AllDifferentSolver,7.0
kneser_graph_8,ASSILPSolverCPSat,8.0
kneser_graph_8,ASS_S_ILPSolverCPSat,8.0
kneser_graph_8,ASSILPSolverGurobi,9.0
kneser_graph_8,ASS_S_ILPSolverGurobi,9.0
kneser_graph_8,NotEqualSolver,7.0
kneser_graph_8,AllDifferentSolver,8.0
kneser_graph_9,ASSILPSolverCPSat,5.0
kneser_graph_9,ASS_S_ILPSolverCPSat,5.0
kneser_graph_9,ASSILPSolverGurobi,3.0
kneser_graph_9,ASS_S_ILPSolverGurobi,3.0
kneser_graph_9,NotEqualSolver,4.0
kneser_graph_9,AllDifferentSolver,4.0
kneser_graph_10,ASSILPSolverCPSat,5.0
kneser_graph_10,ASS_S_ILPSolverCPSat,5.0
kneser_graph_10,ASSILPSolverGurobi,3.0
kneser_graph_10,ASS_S_ILPSolverGurobi,3.0
kneser_graph_10,NotEqualSolver,4.0
kneser_graph_10,AllDifferentSolver,4.0
