instance,solver,metric
0,ASSILPSolverCPSat,21
0,ASS_S_ILPSolverCPSat,21
0,REPILPSolverCPSat,22
0,ASSILPSolverGurobi,26
0,REPILPSolverGurobi,29
0,NotEqualSolver,23
0,AllDifferentSolver,23
0,PYSATSolver,22
1,ASSILPSolverCPSat,20
1,ASS_S_ILPSolverCPSat,21
1,REPILPSolverCPSat,22
1,ASSILPSolverGurobi,24
1,REPILPSolverGurobi,41
1,NotEqualSolver,23
1,AllDifferentSolver,23
1,PYSATSolver,22
2,ASSILPSolverCPSat,22
2,ASS_S_ILPSolverCPSat,21
2,REPILPSolverCPSat,23
2,ASSILPSolverGurobi,25
2,REPILPSolverGurobi,28
2,NotEqualSolver,24
2,AllDifferentSolver,23
2,PYSATSolver,23
3,ASSILPSolverCPSat,21
3,ASS_S_ILPSolverCPSat,21
3,REPILPSolverCPSat,22
3,ASSILPSolverGurobi,24
3,REPILPSolverGurobi,29
3,NotEqualSolver,23
3,AllDifferentSolver,23
3,PYSATSolver,22
4,ASSILPSolverCPSat,21
4,ASS_S_ILPSolverCPSat,21
4,REPILPSolverCPSat,22
4,ASSILPSolverGurobi,25
4,REPILPSolverGurobi,28
4,NotEqualSolver,23
4,AllDifferentSolver,23
4,PYSATSolver,23
5,ASSILPSolverCPSat,21
5,ASS_S_ILPSolverCPSat,21
5,REPILPSolverCPSat,22
5,ASSILPSolverGurobi,24
5,REPILPSolverGurobi,27
5,NotEqualSolver,23
5,AllDifferentSolver,23
5,PYSATSolver,23
6,ASSILPSolverCPSat,20
6,ASS_S_ILPSolverCPSat,20
6,REPILPSolverCPSat,22
6,ASSILPSolverGurobi,24
6,REPILPSolverGurobi,29
6,NotEqualSolver,23
6,AllDifferentSolver,22
6,PYSATSolver,22
7,ASSILPSolverCPSat,21
7,ASS_S_ILPSolverCPSat,21
7,REPILPSolverCPSat,22
7,ASSILPSolverGurobi,24
7,REPILPSolverGurobi,28
7,NotEqualSolver,23
7,AllDifferentSolver,23
7,PYSATSolver,22
8,ASSILPSolverCPSat,21
8,ASS_S_ILPSolverCPSat,21
8,REPILPSolverCPSat,22
8,ASSILPSolverGurobi,24
8,REPILPSolverGurobi,28
8,NotEqualSolver,23
8,AllDifferentSolver,22
8,PYSATSolver,23
9,ASSILPSolverCPSat,21
9,ASS_S_ILPSolverCPSat,21
9,REPILPSolverCPSat,22
9,ASSILPSolverGurobi,25
9,REPILPSolverGurobi,29
9,NotEqualSolver,24
9,AllDifferentSolver,23
9,PYSATSolver,23
