instance,solver,metric
1,ASSILPSolverCPSat,21
1,ASS_S_ILPSolverCPSat,21
1,REPILPSolverCPSat,22
1,ASSILPSolverGurobi,26
1,REPILPSolverGurobi,29
1,NotEqualSolver,23
1,AllDifferentSolver,23
1,PYSATSolver,22
2,ASSILPSolverCPSat,21
2,ASS_S_ILPSolverCPSat,21
2,REPILPSolverCPSat,22
2,ASSILPSolverGurobi,24
2,REPILPSolverGurobi,28
2,NotEqualSolver,22
2,AllDifferentSolver,23
2,PYSATSolver,22
3,ASSILPSolverCPSat,21
3,ASS_S_ILPSolverCPSat,21
3,REPILPSolverCPSat,22
3,ASSILPSolverGurobi,25
3,REPILPSolverGurobi,28
3,NotEqualSolver,23
3,AllDifferentSolver,23
3,PYSATSolver,23
4,ASSILPSolverCPSat,21
4,ASS_S_ILPSolverCPSat,21
4,REPILPSolverCPSat,22
4,ASSILPSolverGurobi,24
4,REPILPSolverGurobi,29
4,NotEqualSolver,23
4,AllDifferentSolver,22
4,PYSATSolver,22
5,ASSILPSolverCPSat,21
5,ASS_S_ILPSolverCPSat,21
5,REPILPSolverCPSat,22
5,ASSILPSolverGurobi,25
5,REPILPSolverGurobi,28
5,NotEqualSolver,23
5,AllDifferentSolver,22
5,PYSATSolver,23
