instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,42
1,MultiStartGreedyGraphColoringHeuristic,41
1,DSATUR,35
2,NaiveGreedyGraphColoringHeuristic,42
2,MultiStartGreedyGraphColoringHeuristic,41
2,DSATUR,36
3,NaiveGreedyGraphColoringHeuristic,43
3,MultiStartGreedyGraphColoringHeuristic,41
3,DSATUR,37
4,NaiveGreedyGraphColoringHeuristic,41
4,MultiStartGreedyGraphColoringHeuristic,41
4,DSATUR,38
5,NaiveGreedyGraphColoringHeuristic,42
5,MultiStartGreedyGraphColoringHeuristic,42
5,DSATUR,35
6,NaiveGreedyGraphColoringHeuristic,42
6,MultiStartGreedyGraphColoringHeuristic,41
6,DSATUR,36
7,NaiveGreedyGraphColoringHeuristic,44
7,MultiStartGreedyGraphColoringHeuristic,40
7,DSATUR,38
8,NaiveGreedyGraphColoringHeuristic,42
8,MultiStartGreedyGraphColoringHeuristic,39
8,DSATUR,37
9,NaiveGreedyGraphColoringHeuristic,40
9,MultiStartGreedyGraphColoringHeuristic,41
9,DSATUR,36
10,NaiveGreedyGraphColoringHeuristic,42
10,MultiStartGreedyGraphColoringHeuristic,41
10,DSATUR,37
11,NaiveGreedyGraphColoringHeuristic,41
11,MultiStartGreedyGraphColoringHeuristic,41
11,DSATUR,37
12,NaiveGreedyGraphColoringHeuristic,43
12,MultiStartGreedyGraphColoringHeuristic,41
12,DSATUR,37
13,NaiveGreedyGraphColoringHeuristic,42
13,MultiStartGreedyGraphColoringHeuristic,40
13,DSATUR,38
14,NaiveGreedyGraphColoringHeuristic,42
14,MultiStartGreedyGraphColoringHeuristic,41
14,DSATUR,36
15,NaiveGreedyGraphColoringHeuristic,41
15,MultiStartGreedyGraphColoringHeuristic,42
15,DSATUR,37
16,NaiveGreedyGraphColoringHeuristic,42
16,MultiStartGreedyGraphColoringHeuristic,40
16,DSATUR,38
17,NaiveGreedyGraphColoringHeuristic,43
17,MultiStartGreedyGraphColoringHeuristic,42
17,DSATUR,36
18,NaiveGreedyGraphColoringHeuristic,42
18,MultiStartGreedyGraphColoringHeuristic,40
18,DSATUR,37
19,NaiveGreedyGraphColoringHeuristic,42
19,MultiStartGreedyGraphColoringHeuristic,41
19,DSATUR,37
20,NaiveGreedyGraphColoringHeuristic,42
20,MultiStartGreedyGraphColoringHeuristic,41
20,DSATUR,36
21,NaiveGreedyGraphColoringHeuristic,41
21,MultiStartGreedyGraphColoringHeuristic,42
21,DSATUR,38
22,NaiveGreedyGraphColoringHeuristic,44
22,MultiStartGreedyGraphColoringHeuristic,41
22,DSATUR,38
23,NaiveGreedyGraphColoringHeuristic,43
23,MultiStartGreedyGraphColoringHeuristic,41
23,DSATUR,38
24,NaiveGreedyGraphColoringHeuristic,43
24,MultiStartGreedyGraphColoringHeuristic,41
24,DSATUR,37
25,NaiveGreedyGraphColoringHeuristic,45
25,MultiStartGreedyGraphColoringHeuristic,41
25,DSATUR,35
26,NaiveGreedyGraphColoringHeuristic,43
26,MultiStartGreedyGraphColoringHeuristic,41
26,DSATUR,38
27,NaiveGreedyGraphColoringHeuristic,42
27,MultiStartGreedyGraphColoringHeuristic,42
27,DSATUR,36
28,NaiveGreedyGraphColoringHeuristic,43
28,MultiStartGreedyGraphColoringHeuristic,40
28,DSATUR,37
29,NaiveGreedyGraphColoringHeuristic,44
29,MultiStartGreedyGraphColoringHeuristic,41
29,DSATUR,36
30,NaiveGreedyGraphColoringHeuristic,42
30,MultiStartGreedyGraphColoringHeuristic,41
30,DSATUR,36
31,NaiveGreedyGraphColoringHeuristic,42
31,MultiStartGreedyGraphColoringHeuristic,41
31,DSATUR,38
32,NaiveGreedyGraphColoringHeuristic,41
32,MultiStartGreedyGraphColoringHeuristic,40
32,DSATUR,36
33,NaiveGreedyGraphColoringHeuristic,42
33,MultiStartGreedyGraphColoringHeuristic,41
33,DSATUR,35
34,NaiveGreedyGraphColoringHeuristic,42
34,MultiStartGreedyGraphColoringHeuristic,41
34,DSATUR,38
35,NaiveGreedyGraphColoringHeuristic,43
35,MultiStartGreedyGraphColoringHeuristic,41
35,DSATUR,36
36,NaiveGreedyGraphColoringHeuristic,42
36,MultiStartGreedyGraphColoringHeuristic,41
36,DSATUR,37
37,NaiveGreedyGraphColoringHeuristic,42
37,MultiStartGreedyGraphColoringHeuristic,41
37,DSATUR,37
38,NaiveGreedyGraphColoringHeuristic,42
38,MultiStartGreedyGraphColoringHeuristic,41
38,DSATUR,36
39,NaiveGreedyGraphColoringHeuristic,41
39,MultiStartGreedyGraphColoringHeuristic,41
39,DSATUR,36
40,NaiveGreedyGraphColoringHeuristic,42
40,MultiStartGreedyGraphColoringHeuristic,41
40,DSATUR,37
41,NaiveGreedyGraphColoringHeuristic,41
41,MultiStartGreedyGraphColoringHeuristic,41
41,DSATUR,38
42,NaiveGreedyGraphColoringHeuristic,42
42,MultiStartGreedyGraphColoringHeuristic,39
42,DSATUR,37
43,NaiveGreedyGraphColoringHeuristic,44
43,MultiStartGreedyGraphColoringHeuristic,41
43,DSATUR,37
44,NaiveGreedyGraphColoringHeuristic,43
44,MultiStartGreedyGraphColoringHeuristic,41
44,DSATUR,38
45,NaiveGreedyGraphColoringHeuristic,41
45,MultiStartGreedyGraphColoringHeuristic,41
45,DSATUR,35
46,NaiveGreedyGraphColoringHeuristic,43
46,MultiStartGreedyGraphColoringHeuristic,42
46,DSATUR,37
47,NaiveGreedyGraphColoringHeuristic,42
47,MultiStartGreedyGraphColoringHeuristic,42
47,DSATUR,36
48,NaiveGreedyGraphColoringHeuristic,41
48,MultiStartGreedyGraphColoringHeuristic,41
48,DSATUR,38
49,NaiveGreedyGraphColoringHeuristic,42
49,MultiStartGreedyGraphColoringHeuristic,40
49,DSATUR,35
50,NaiveGreedyGraphColoringHeuristic,42
50,MultiStartGreedyGraphColoringHeuristic,42
50,DSATUR,36
51,NaiveGreedyGraphColoringHeuristic,42
51,MultiStartGreedyGraphColoringHeuristic,43
51,DSATUR,39
52,NaiveGreedyGraphColoringHeuristic,42
52,MultiStartGreedyGraphColoringHeuristic,42
52,DSATUR,37
53,NaiveGreedyGraphColoringHeuristic,44
