instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,8
1,MultiStartGreedyGraphColoringHeuristic,8
1,DSATUR,6
2,NaiveGreedyGraphColoringHeuristic,10
2,MultiStartGreedyGraphColoringHeuristic,9
2,DSATUR,6
3,NaiveGreedyGraphColoringHeuristic,9
3,MultiStartGreedyGraphColoringHeuristic,8
3,DSATUR,5
4,NaiveGreedyGraphColoringHeuristic,11
4,MultiStartGreedyGraphColoringHeuristic,10
4,DSATUR,7
5,NaiveGreedyGraphColoringHeuristic,10
5,MultiStartGreedyGraphColoringHeuristic,9
5,DSATUR,6
6,NaiveGreedyGraphColoringHeuristic,9
6,MultiStartGreedyGraphColoringHeuristic,8
6,DSATUR,6
7,NaiveGreedyGraphColoringHeuristic,10
7,MultiStartGreedyGraphColoringHeuristic,9
7,DSATUR,6
8,NaiveGreedyGraphColoringHeuristic,13
8,MultiStartGreedyGraphColoringHeuristic,12
8,DSATUR,8
9,NaiveGreedyGraphColoringHeuristic,11
9,MultiStartGreedyGraphColoringHeuristic,12
9,DSATUR,8
10,NaiveGreedyGraphColoringHeuristic,11
10,MultiStartGreedyGraphColoringHeuristic,10
10,DSATUR,8
11,NaiveGreedyGraphColoringHeuristic,12
11,MultiStartGreedyGraphColoringHeuristic,12
11,DSATUR,8
12,NaiveGreedyGraphColoringHeuristic,14
12,MultiStartGreedyGraphColoringHeuristic,13
12,DSATUR,8
13,NaiveGreedyGraphColoringHeuristic,15
13,MultiStartGreedyGraphColoringHeuristic,11
13,DSATUR,8
14,NaiveGreedyGraphColoringHeuristic,9
14,MultiStartGreedyGraphColoringHeuristic,8
14,DSATUR,5
15,NaiveGreedyGraphColoringHeuristic,13
15,MultiStartGreedyGraphColoringHeuristic,13
15,DSATUR,8
16,NaiveGreedyGraphColoringHeuristic,8
16,MultiStartGreedyGraphColoringHeuristic,8
16,DSATUR,6
17,NaiveGreedyGraphColoringHeuristic,8
17,MultiStartGreedyGraphColoringHeuristic,8
17,DSATUR,6
18,NaiveGreedyGraphColoringHeuristic,10
18,MultiStartGreedyGraphColoringHeuristic,10
18,DSATUR,6
19,NaiveGreedyGraphColoringHeuristic,11
19,MultiStartGreedyGraphColoringHeuristic,11
19,DSATUR,7
20,NaiveGreedyGraphColoringHeuristic,11
20,MultiStartGreedyGraphColoringHeuristic,11
20,DSATUR,8
21,NaiveGreedyGraphColoringHeuristic,12
21,MultiStartGreedyGraphColoringHeuristic,12
21,DSATUR,8
22,NaiveGreedyGraphColoringHeuristic,10
22,MultiStartGreedyGraphColoringHeuristic,9
22,DSATUR,6
23,NaiveGreedyGraphColoringHeuristic,11
23,MultiStartGreedyGraphColoringHeuristic,10
23,DSATUR,7
24,NaiveGreedyGraphColoringHeuristic,9
24,MultiStartGreedyGraphColoringHeuristic,8
24,DSATUR,6
25,NaiveGreedyGraphColoringHeuristic,11
25,MultiStartGreedyGraphColoringHeuristic,10
25,DSATUR,7
26,NaiveGreedyGraphColoringHeuristic,12
26,MultiStartGreedyGraphColoringHeuristic,12
26,DSATUR,8
27,NaiveGreedyGraphColoringHeuristic,12
27,MultiStartGreedyGraphColoringHeuristic,11
27,DSATUR,8
28,NaiveGreedyGraphColoringHeuristic,14
28,MultiStartGreedyGraphColoringHeuristic,12
28,DSATUR,9
29,NaiveGreedyGraphColoringHeuristic,12
29,MultiStartGreedyGraphColoringHeuristic,11
29,DSATUR,8
30,NaiveGreedyGraphColoringHeuristic,10
30,MultiStartGreedyGraphColoringHeuristic,9
30,DSATUR,6
31,NaiveGreedyGraphColoringHeuristic,12
31,MultiStartGreedyGraphColoringHeuristic,12
31,DSATUR,8
32,NaiveGreedyGraphColoringHeuristic,10
32,MultiStartGreedyGraphColoringHeuristic,9
32,DSATUR,6
33,NaiveGreedyGraphColoringHeuristic,13
33,MultiStartGreedyGraphColoringHeuristic,11
33,DSATUR,9
34,NaiveGreedyGraphColoringHeuristic,13
34,MultiStartGreedyGraphColoringHeuristic,12
34,DSATUR,8
35,NaiveGreedyGraphColoringHeuristic,12
35,MultiStartGreedyGraphColoringHeuristic,11
35,DSATUR,8
36,NaiveGreedyGraphColoringHeuristic,9
36,MultiStartGreedyGraphColoringHeuristic,9
36,DSATUR,6
37,NaiveGreedyGraphColoringHeuristic,11
37,MultiStartGreedyGraphColoringHeuristic,11
37,DSATUR,9
38,NaiveGreedyGraphColoringHeuristic,10
38,MultiStartGreedyGraphColoringHeuristic,9
38,DSATUR,6
39,NaiveGreedyGraphColoringHeuristic,10
39,MultiStartGreedyGraphColoringHeuristic,10
39,DSATUR,7
40,NaiveGreedyGraphColoringHeuristic,9
40,MultiStartGreedyGraphColoringHeuristic,8
40,DSATUR,6
41,NaiveGreedyGraphColoringHeuristic,11
41,MultiStartGreedyGraphColoringHeuristic,12
41,DSATUR,7
42,NaiveGreedyGraphColoringHeuristic,13
42,MultiStartGreedyGraphColoringHeuristic,12
42,DSATUR,8
43,NaiveGreedyGraphColoringHeuristic,10
43,MultiStartGreedyGraphColoringHeuristic,10
43,DSATUR,7
44,NaiveGreedyGraphColoringHeuristic,11
44,MultiStartGreedyGraphColoringHeuristic,10
44,DSATUR,8
45,NaiveGreedyGraphColoringHeuristic,10
45,MultiStartGreedyGraphColoringHeuristic,8
45,DSATUR,6
46,NaiveGreedyGraphColoringHeuristic,12
46,MultiStartGreedyGraphColoringHeuristic,12
46,DSATUR,9
47,NaiveGreedyGraphColoringHeuristic,13
47,MultiStartGreedyGraphColoringHeuristic,11
47,DSATUR,8
48,NaiveGreedyGraphColoringHeuristic,9
48,MultiStartGreedyGraphColoringHeuristic,8
48,DSATUR,6
49,NaiveGreedyGraphColoringHeuristic,12
49,MultiStartGreedyGraphColoringHeuristic,10
49,DSATUR,8
50,NaiveGreedyGraphColoringHeuristic,12
50,MultiStartGreedyGraphColoringHeuristic,13
50,DSATUR,8
51,NaiveGreedyGraphColoringHeuristic,13
51,MultiStartGreedyGraphColoringHeuristic,13
51,DSATUR,8
52,NaiveGreedyGraphColoringHeuristic,9
52,MultiStartGreedyGraphColoringHeuristic,9
52,DSATUR,6
53,NaiveGreedyGraphColoringHeuristic,12
53,MultiStartGreedyGraphColoringHeuristic,12
53,DSATUR,8
54,NaiveGreedyGraphColoringHeuristic,7
54,MultiStartGreedyGraphColoringHeuristic,8
54,DSATUR,5
55,NaiveGreedyGraphColoringHeuristic,11
55,MultiStartGreedyGraphColoringHeuristic,12
55,DSATUR,8
56,NaiveGreedyGraphColoringHeuristic,9
56,MultiStartGreedyGraphColoringHeuristic,9
56,DSATUR,5
57,NaiveGreedyGraphColoringHeuristic,9
57,MultiStartGreedyGraphColoringHeuristic,9
57,DSATUR,5
58,NaiveGreedyGraphColoringHeuristic,13
58,MultiStartGreedyGraphColoringHeuristic,11
58,DSATUR,8
59,NaiveGreedyGraphColoringHeuristic,10
59,MultiStartGreedyGraphColoringHeuristic,9
59,DSATUR,6
60,NaiveGreedyGraphColoringHeuristic,10
60,MultiStartGreedyGraphColoringHeuristic,9
60,DSATUR,6
61,NaiveGreedyGraphColoringHeuristic,10
61,MultiStartGreedyGraphColoringHeuristic,9
61,DSATUR,7
62,NaiveGreedyGraphColoringHeuristic,10
62,MultiStartGreedyGraphColoringHeuristic,9
62,DSATUR,6
63,NaiveGreedyGraphColoringHeuristic,11
63,MultiStartGreedyGraphColoringHeuristic,9
63,DSATUR,6
64,NaiveGreedyGraphColoringHeuristic,11
64,MultiStartGreedyGraphColoringHeuristic,9
64,DSATUR,8
65,NaiveGreedyGraphColoringHeuristic,12
65,MultiStartGreedyGraphColoringHeuristic,11
65,DSATUR,7
66,NaiveGreedyGraphColoringHeuristic,12
66,MultiStartGreedyGraphColoringHeuristic,10
66,DSATUR,8
67,NaiveGreedyGraphColoringHeuristic,8
67,MultiStartGreedyGraphColoringHeuristic,8
67,DSATUR,6
68,NaiveGreedyGraphColoringHeuristic,9
68,MultiStartGreedyGraphColoringHeuristic,8
68,DSATUR,6
69,NaiveGreedyGraphColoringHeuristic,10
69,MultiStartGreedyGraphColoringHeuristic,9
69,DSATUR,6
70,NaiveGreedyGraphColoringHeuristic,11
70,MultiStartGreedyGraphColoringHeuristic,10
70,DSATUR,7
71,NaiveGreedyGraphColoringHeuristic,9
71,MultiStartGreedyGraphColoringHeuristic,9
71,DSATUR,6
72,NaiveGreedyGraphColoringHeuristic,11
72,MultiStartGreedyGraphColoringHeuristic,10
72,DSATUR,7
73,NaiveGreedyGraphColoringHeuristic,10
73,MultiStartGreedyGraphColoringHeuristic,10
73,DSATUR,7
74,NaiveGreedyGraphColoringHeuristic,13
74,MultiStartGreedyGraphColoringHeuristic,11
74,DSATUR,8
75,NaiveGreedyGraphColoringHeuristic,10
75,MultiStartGreedyGraphColoringHeuristic,9
75,DSATUR,6
76,NaiveGreedyGraphColoringHeuristic,8
76,MultiStartGreedyGraphColoringHeuristic,8
76,DSATUR,5
77,NaiveGreedyGraphColoringHeuristic,11
77,MultiStartGreedyGraphColoringHeuristic,11
77,DSATUR,7
78,NaiveGreedyGraphColoringHeuristic,8
78,MultiStartGreedyGraphColoringHeuristic,8
78,DSATUR,6
79,NaiveGreedyGraphColoringHeuristic,10
79,MultiStartGreedyGraphColoringHeuristic,8
79,DSATUR,6
80,NaiveGreedyGraphColoringHeuristic,11
80,MultiStartGreedyGraphColoringHeuristic,11
80,DSATUR,7
81,NaiveGreedyGraphColoringHeuristic,12
81,MultiStartGreedyGraphColoringHeuristic,11
81,DSATUR,8
82,NaiveGreedyGraphColoringHeuristic,10
82,MultiStartGreedyGraphColoringHeuristic,9
82,DSATUR,7
83,NaiveGreedyGraphColoringHeuristic,10
83,MultiStartGreedyGraphColoringHeuristic,8
83,DSATUR,6
84,NaiveGreedyGraphColoringHeuristic,11
84,MultiStartGreedyGraphColoringHeuristic,11
84,DSATUR,8
85,NaiveGreedyGraphColoringHeuristic,12
85,MultiStartGreedyGraphColoringHeuristic,11
85,DSATUR,7
86,NaiveGreedyGraphColoringHeuristic,12
86,MultiStartGreedyGraphColoringHeuristic,12
86,DSATUR,8
87,NaiveGreedyGraphColoringHeuristic,8
87,MultiStartGreedyGraphColoringHeuristic,8
87,DSATUR,5
88,NaiveGreedyGraphColoringHeuristic,11
88,MultiStartGreedyGraphColoringHeuristic,10
88,DSATUR,8
89,NaiveGreedyGraphColoringHeuristic,12
89,MultiStartGreedyGraphColoringHeuristic,11
89,DSATUR,7
90,NaiveGreedyGraphColoringHeuristic,11
90,MultiStartGreedyGraphColoringHeuristic,10
90,DSATUR,7
91,NaiveGreedyGraphColoringHeuristic,13
91,MultiStartGreedyGraphColoringHeuristic,12
91,DSATUR,8
92,NaiveGreedyGraphColoringHeuristic,13
92,MultiStartGreedyGraphColoringHeuristic,12
92,DSATUR,7
93,NaiveGreedyGraphColoringHeuristic,9
93,MultiStartGreedyGraphColoringHeuristic,9
93,DSATUR,6
94,NaiveGreedyGraphColoringHeuristic,12
94,MultiStartGreedyGraphColoringHeuristic,11
94,DSATUR,7
95,NaiveGreedyGraphColoringHeuristic,12
95,MultiStartGreedyGraphColoringHeuristic,12
95,DSATUR,7
96,NaiveGreedyGraphColoringHeuristic,9
96,MultiStartGreedyGraphColoringHeuristic,10
96,DSATUR,7
97,NaiveGreedyGraphColoringHeuristic,12
97,MultiStartGreedyGraphColoringHeuristic,11
97,DSATUR,8
98,NaiveGreedyGraphColoringHeuristic,12
98,MultiStartGreedyGraphColoringHeuristic,11
98,DSATUR,8
99,NaiveGreedyGraphColoringHeuristic,12
99,MultiStartGreedyGraphColoringHeuristic,10
99,DSATUR,7
100,NaiveGreedyGraphColoringHeuristic,12
100,MultiStartGreedyGraphColoringHeuristic,10
100,DSATUR,7
