instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,2
1,MultiStartGreedyGraphColoringHeuristic,3
1,DSATUR,2
2,NaiveGreedyGraphColoringHeuristic,2
2,MultiStartGreedyGraphColoringHeuristic,3
2,DSATUR,2
3,NaiveGreedyGraphColoringHeuristic,2
3,MultiStartGreedyGraphColoringHeuristic,3
3,DSATUR,2
4,NaiveGreedyGraphColoringHeuristic,2
4,MultiStartGreedyGraphColoringHeuristic,3
4,DSATUR,2
5,NaiveGreedyGraphColoringHeuristic,3
5,MultiStartGreedyGraphColoringHeuristic,3
5,DSATUR,3
6,NaiveGreedyGraphColoringHeuristic,3
6,MultiStartGreedyGraphColoringHeuristic,3
6,DSATUR,3
7,NaiveGreedyGraphColoringHeuristic,2
7,MultiStartGreedyGraphColoringHeuristic,3
7,DSATUR,2
8,NaiveGreedyGraphColoringHeuristic,3
8,MultiStartGreedyGraphColoringHeuristic,3
8,DSATUR,3
9,NaiveGreedyGraphColoringHeuristic,2
9,MultiStartGreedyGraphColoringHeuristic,3
9,DSATUR,2
10,NaiveGreedyGraphColoringHeuristic,2
10,MultiStartGreedyGraphColoringHeuristic,3
10,DSATUR,2
11,NaiveGreedyGraphColoringHeuristic,2
11,MultiStartGreedyGraphColoringHeuristic,3
11,DSATUR,2
12,NaiveGreedyGraphColoringHeuristic,3
12,MultiStartGreedyGraphColoringHeuristic,3
12,DSATUR,3
13,NaiveGreedyGraphColoringHeuristic,3
13,MultiStartGreedyGraphColoringHeuristic,3
13,DSATUR,3
14,NaiveGreedyGraphColoringHeuristic,3
14,MultiStartGreedyGraphColoringHeuristic,3
14,DSATUR,3
15,NaiveGreedyGraphColoringHeuristic,3
15,MultiStartGreedyGraphColoringHeuristic,3
15,DSATUR,3
16,NaiveGreedyGraphColoringHeuristic,3
16,MultiStartGreedyGraphColoringHeuristic,3
16,DSATUR,3
17,NaiveGreedyGraphColoringHeuristic,2
17,MultiStartGreedyGraphColoringHeuristic,3
17,DSATUR,2
18,NaiveGreedyGraphColoringHeuristic,3
18,MultiStartGreedyGraphColoringHeuristic,3
18,DSATUR,3
19,NaiveGreedyGraphColoringHeuristic,2
19,MultiStartGreedyGraphColoringHeuristic,3
19,DSATUR,2
20,NaiveGreedyGraphColoringHeuristic,3
20,MultiStartGreedyGraphColoringHeuristic,3
20,DSATUR,3
