instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,11
1,MultiStartGreedyGraphColoringHeuristic,14
1,DSATUR,15
2,NaiveGreedyGraphColoringHeuristic,11
2,MultiStartGreedyGraphColoringHeuristic,13
2,DSATUR,15
3,NaiveGreedyGraphColoringHeuristic,11
3,MultiStartGreedyGraphColoringHeuristic,15
3,DSATUR,15
4,NaiveGreedyGraphColoringHeuristic,11
4,MultiStartGreedyGraphColoringHeuristic,14
4,DSATUR,15
5,NaiveGreedyGraphColoringHeuristic,11
5,MultiStartGreedyGraphColoringHeuristic,15
5,DSATUR,15
6,NaiveGreedyGraphColoringHeuristic,11
6,MultiStartGreedyGraphColoringHeuristic,14
6,DSATUR,15
7,NaiveGreedyGraphColoringHeuristic,11
7,MultiStartGreedyGraphColoringHeuristic,15
7,DSATUR,15
8,NaiveGreedyGraphColoringHeuristic,11
8,MultiStartGreedyGraphColoringHeuristic,13
8,DSATUR,15
9,NaiveGreedyGraphColoringHeuristic,11
9,MultiStartGreedyGraphColoringHeuristic,14
9,DSATUR,15
10,NaiveGreedyGraphColoringHeuristic,11
10,MultiStartGreedyGraphColoringHeuristic,15
10,DSATUR,15
11,NaiveGreedyGraphColoringHeuristic,11
11,MultiStartGreedyGraphColoringHeuristic,18
11,DSATUR,15
12,NaiveGreedyGraphColoringHeuristic,11
12,MultiStartGreedyGraphColoringHeuristic,15
12,DSATUR,15
13,NaiveGreedyGraphColoringHeuristic,11
13,MultiStartGreedyGraphColoringHeuristic,13
13,DSATUR,15
14,NaiveGreedyGraphColoringHeuristic,11
14,MultiStartGreedyGraphColoringHeuristic,14
14,DSATUR,15
15,NaiveGreedyGraphColoringHeuristic,11
15,MultiStartGreedyGraphColoringHeuristic,13
15,DSATUR,15
16,NaiveGreedyGraphColoringHeuristic,11
16,MultiStartGreedyGraphColoringHeuristic,13
16,DSATUR,15
17,NaiveGreedyGraphColoringHeuristic,11
17,MultiStartGreedyGraphColoringHeuristic,15
17,DSATUR,15
18,NaiveGreedyGraphColoringHeuristic,11
18,MultiStartGreedyGraphColoringHeuristic,14
18,DSATUR,15
19,NaiveGreedyGraphColoringHeuristic,11
19,MultiStartGreedyGraphColoringHeuristic,16
19,DSATUR,15
20,NaiveGreedyGraphColoringHeuristic,11
20,MultiStartGreedyGraphColoringHeuristic,14
20,DSATUR,15
