instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,16
1,MultiStartGreedyGraphColoringHeuristic,14
1,DSATUR,15
2,NaiveGreedyGraphColoringHeuristic,18
2,MultiStartGreedyGraphColoringHeuristic,13
2,DSATUR,15
3,NaiveGreedyGraphColoringHeuristic,16
3,MultiStartGreedyGraphColoringHeuristic,14
3,DSATUR,15
4,NaiveGreedyGraphColoringHeuristic,18
4,MultiStartGreedyGraphColoringHeuristic,15
4,DSATUR,15
5,NaiveGreedyGraphColoringHeuristic,16
5,MultiStartGreedyGraphColoringHeuristic,14
5,DSATUR,15
6,NaiveGreedyGraphColoringHeuristic,15
6,MultiStartGreedyGraphColoringHeuristic,15
6,DSATUR,15
7,NaiveGreedyGraphColoringHeuristic,13
7,MultiStartGreedyGraphColoringHeuristic,15
7,DSATUR,15
8,NaiveGreedyGraphColoringHeuristic,14
8,MultiStartGreedyGraphColoringHeuristic,15
8,DSATUR,15
9,NaiveGreedyGraphColoringHeuristic,15
9,MultiStartGreedyGraphColoringHeuristic,17
9,DSATUR,15
10,NaiveGreedyGraphColoringHeuristic,18
10,MultiStartGreedyGraphColoringHeuristic,15
10,DSATUR,15
11,NaiveGreedyGraphColoringHeuristic,16
11,MultiStartGreedyGraphColoringHeuristic,13
11,DSATUR,15
12,NaiveGreedyGraphColoringHeuristic,19
12,MultiStartGreedyGraphColoringHeuristic,14
12,DSATUR,15
13,NaiveGreedyGraphColoringHeuristic,18
13,MultiStartGreedyGraphColoringHeuristic,13
13,DSATUR,15
14,NaiveGreedyGraphColoringHeuristic,16
14,MultiStartGreedyGraphColoringHeuristic,13
14,DSATUR,15
15,NaiveGreedyGraphColoringHeuristic,17
15,MultiStartGreedyGraphColoringHeuristic,14
15,DSATUR,15
16,NaiveGreedyGraphColoringHeuristic,17
16,MultiStartGreedyGraphColoringHeuristic,16
16,DSATUR,15
17,NaiveGreedyGraphColoringHeuristic,14
17,MultiStartGreedyGraphColoringHeuristic,15
17,DSATUR,15
18,NaiveGreedyGraphColoringHeuristic,15
18,MultiStartGreedyGraphColoringHeuristic,15
18,DSATUR,15
19,NaiveGreedyGraphColoringHeuristic,16
19,MultiStartGreedyGraphColoringHeuristic,15
19,DSATUR,15
20,NaiveGreedyGraphColoringHeuristic,16
20,MultiStartGreedyGraphColoringHeuristic,17
20,DSATUR,15
