instance,solver,metric
1,NaiveGreedyGraphColoringHeuristic,4
1,MultiStartGreedyGraphColoringHeuristic,4
1,DSATUR,4
2,NaiveGreedyGraphColoringHeuristic,4
2,MultiStartGreedyGraphColoringHeuristic,4
2,DSATUR,4
3,NaiveGreedyGraphColoringHeuristic,4
3,MultiStartGreedyGraphColoringHeuristic,4
3,DSATUR,4
4,NaiveGreedyGraphColoringHeuristic,4
4,MultiStartGreedyGraphColoringHeuristic,4
4,DSATUR,4
5,NaiveGreedyGraphColoringHeuristic,4
5,MultiStartGreedyGraphColoringHeuristic,4
5,DSATUR,3
6,NaiveGreedyGraphColoringHeuristic,4
6,MultiStartGreedyGraphColoringHeuristic,4
6,DSATUR,3
7,NaiveGreedyGraphColoringHeuristic,4
7,MultiStartGreedyGraphColoringHeuristic,4
7,DSATUR,4
8,NaiveGreedyGraphColoringHeuristic,4
8,MultiStartGreedyGraphColoringHeuristic,4
8,DSATUR,3
9,NaiveGreedyGraphColoringHeuristic,4
9,MultiStartGreedyGraphColoringHeuristic,4
9,DSATUR,4
10,NaiveGreedyGraphColoringHeuristic,4
10,MultiStartGreedyGraphColoringHeuristic,4
10,DSATUR,4
11,NaiveGreedyGraphColoringHeuristic,4
11,MultiStartGreedyGraphColoringHeuristic,4
11,DSATUR,4
12,NaiveGreedyGraphColoringHeuristic,4
12,MultiStartGreedyGraphColoringHeuristic,4
12,DSATUR,3
13,NaiveGreedyGraphColoringHeuristic,4
13,MultiStartGreedyGraphColoringHeuristic,4
13,DSATUR,3
14,NaiveGreedyGraphColoringHeuristic,4
14,MultiStartGreedyGraphColoringHeuristic,4
14,DSATUR,3
15,NaiveGreedyGraphColoringHeuristic,4
15,MultiStartGreedyGraphColoringHeuristic,4
15,DSATUR,3
16,NaiveGreedyGraphColoringHeuristic,4
16,MultiStartGreedyGraphColoringHeuristic,4
16,DSATUR,3
17,NaiveGreedyGraphColoringHeuristic,4
17,MultiStartGreedyGraphColoringHeuristic,4
17,DSATUR,4
18,NaiveGreedyGraphColoringHeuristic,4
18,MultiStartGreedyGraphColoringHeuristic,4
18,DSATUR,3
19,NaiveGreedyGraphColoringHeuristic,4
19,MultiStartGreedyGraphColoringHeuristic,4
19,DSATUR,4
20,NaiveGreedyGraphColoringHeuristic,4
20,MultiStartGreedyGraphColoringHeuristic,4
20,DSATUR,3
21,NaiveGreedyGraphColoringHeuristic,4
21,MultiStartGreedyGraphColoringHeuristic,4
21,DSATUR,3
22,NaiveGreedyGraphColoringHeuristic,4
22,MultiStartGreedyGraphColoringHeuristic,4
22,DSATUR,4
23,NaiveGreedyGraphColoringHeuristic,4
23,MultiStartGreedyGraphColoringHeuristic,4
23,DSATUR,4
24,NaiveGreedyGraphColoringHeuristic,4
24,MultiStartGreedyGraphColoringHeuristic,4
24,DSATUR,4
25,NaiveGreedyGraphColoringHeuristic,4
25,MultiStartGreedyGraphColoringHeuristic,4
25,DSATUR,3
26,NaiveGreedyGraphColoringHeuristic,4
26,MultiStartGreedyGraphColoringHeuristic,4
26,DSATUR,3
27,NaiveGreedyGraphColoringHeuristic,4
27,MultiStartGreedyGraphColoringHeuristic,4
27,DSATUR,4
28,NaiveGreedyGraphColoringHeuristic,4
28,MultiStartGreedyGraphColoringHeuristic,4
28,DSATUR,4
29,NaiveGreedyGraphColoringHeuristic,4
29,MultiStartGreedyGraphColoringHeuristic,4
29,DSATUR,3
30,NaiveGreedyGraphColoringHeuristic,4
30,MultiStartGreedyGraphColoringHeuristic,4
30,DSATUR,3
31,NaiveGreedyGraphColoringHeuristic,4
31,MultiStartGreedyGraphColoringHeuristic,4
31,DSATUR,3
32,NaiveGreedyGraphColoringHeuristic,4
32,MultiStartGreedyGraphColoringHeuristic,4
32,DSATUR,3
33,NaiveGreedyGraphColoringHeuristic,4
33,MultiStartGreedyGraphColoringHeuristic,4
33,DSATUR,4
34,NaiveGreedyGraphColoringHeuristic,4
34,MultiStartGreedyGraphColoringHeuristic,4
34,DSATUR,4
35,NaiveGreedyGraphColoringHeuristic,4
35,MultiStartGreedyGraphColoringHeuristic,4
35,DSATUR,3
36,NaiveGreedyGraphColoringHeuristic,4
36,MultiStartGreedyGraphColoringHeuristic,4
36,DSATUR,3
37,NaiveGreedyGraphColoringHeuristic,4
37,MultiStartGreedyGraphColoringHeuristic,4
37,DSATUR,4
38,NaiveGreedyGraphColoringHeuristic,4
38,MultiStartGreedyGraphColoringHeuristic,4
38,DSATUR,3
39,NaiveGreedyGraphColoringHeuristic,4
39,MultiStartGreedyGraphColoringHeuristic,4
39,DSATUR,4
40,NaiveGreedyGraphColoringHeuristic,4
40,MultiStartGreedyGraphColoringHeuristic,4
40,DSATUR,3
41,NaiveGreedyGraphColoringHeuristic,4
41,MultiStartGreedyGraphColoringHeuristic,4
41,DSATUR,3
42,NaiveGreedyGraphColoringHeuristic,4
42,MultiStartGreedyGraphColoringHeuristic,4
42,DSATUR,3
43,NaiveGreedyGraphColoringHeuristic,4
43,MultiStartGreedyGraphColoringHeuristic,4
43,DSATUR,3
44,NaiveGreedyGraphColoringHeuristic,4
44,MultiStartGreedyGraphColoringHeuristic,4
44,DSATUR,3
45,NaiveGreedyGraphColoringHeuristic,4
45,MultiStartGreedyGraphColoringHeuristic,4
45,DSATUR,4
46,NaiveGreedyGraphColoringHeuristic,4
46,MultiStartGreedyGraphColoringHeuristic,4
46,DSATUR,4
47,NaiveGreedyGraphColoringHeuristic,4
47,MultiStartGreedyGraphColoringHeuristic,4
47,DSATUR,3
48,NaiveGreedyGraphColoringHeuristic,4
48,MultiStartGreedyGraphColoringHeuristic,4
48,DSATUR,3
49,NaiveGreedyGraphColoringHeuristic,4
49,MultiStartGreedyGraphColoringHeuristic,4
49,DSATUR,4
50,NaiveGreedyGraphColoringHeuristic,4
50,MultiStartGreedyGraphColoringHeuristic,4
50,DSATUR,3
51,NaiveGreedyGraphColoringHeuristic,4
51,MultiStartGreedyGraphColoringHeuristic,4
51,DSATUR,3
52,NaiveGreedyGraphColoringHeuristic,4
52,MultiStartGreedyGraphColoringHeuristic,4
52,DSATUR,3
53,NaiveGreedyGraphColoringHeuristic,4
53,MultiStartGreedyGraphColoringHeuristic,4
53,DSATUR,3
54,NaiveGreedyGraphColoringHeuristic,4
54,MultiStartGreedyGraphColoringHeuristic,4
54,DSATUR,4
55,NaiveGreedyGraphColoringHeuristic,4
55,MultiStartGreedyGraphColoringHeuristic,4
55,DSATUR,4
56,NaiveGreedyGraphColoringHeuristic,4
56,MultiStartGreedyGraphColoringHeuristic,4
56,DSATUR,4
