instance,solver,metric
kneser_graph_1,ASSILPSolverCPSat,8
kneser_graph_1,ASS_S_ILPSolverCPSat,8
kneser_graph_1,REPILPSolverCPSat,8
kneser_graph_1,ASSILPSolverGurobi,8
kneser_graph_1,ASS_S_ILPSolverGurobi,8
kneser_graph_1,REPILPSolverGurobi,8
kneser_graph_1,NotEqualSolver,8
kneser_graph_1,AllDifferentSolver,8
kneser_graph_1,PYSATSolver,8
kneser_graph_2,ASSILPSolverCPSat,8
kneser_graph_2,ASS_S_ILPSolverCPSat,8
kneser_graph_2,REPILPSolverCPSat,8
kneser_graph_2,ASSILPSolverGurobi,8
kneser_graph_2,ASS_S_ILPSolverGurobi,8
kneser_graph_2,REPILPSolverGurobi,8
kneser_graph_2,NotEqualSolver,8
kneser_graph_2,AllDifferentSolver,8
kneser_graph_2,PYSATSolver,8
kneser_graph_3,ASSILPSolverCPSat,8
kneser_graph_3,ASS_S_ILPSolverCPSat,8
kneser_graph_3,REPILPSolverCPSat,8
kneser_graph_3,ASSILPSolverGurobi,8
kneser_graph_3,ASS_S_ILPSolverGurobi,8
kneser_graph_3,REPILPSolverGurobi,8
kneser_graph_3,NotEqualSolver,8
kneser_graph_3,AllDifferentSolver,8
kneser_graph_3,PYSATSolver,8
kneser_graph_4,ASSILPSolverCPSat,8
kneser_graph_4,ASS_S_ILPSolverCPSat,8
kneser_graph_4,REPILPSolverCPSat,8
kneser_graph_4,ASSILPSolverGurobi,8
kneser_graph_4,ASS_S_ILPSolverGurobi,8
kneser_graph_4,REPILPSolverGurobi,8
kneser_graph_4,NotEqualSolver,8
kneser_graph_4,AllDifferentSolver,8
kneser_graph_4,PYSATSolver,8
kneser_graph_5,ASSILPSolverCPSat,8
kneser_graph_5,ASS_S_ILPSolverCPSat,8
kneser_graph_5,REPILPSolverCPSat,8
kneser_graph_5,ASSILPSolverGurobi,8
kneser_graph_5,ASS_S_ILPSolverGurobi,8
kneser_graph_5,REPILPSolverGurobi,8
kneser_graph_5,NotEqualSolver,8
kneser_graph_5,AllDifferentSolver,8
kneser_graph_5,PYSATSolver,8
kneser_graph_6,ASSILPSolverCPSat,8
kneser_graph_6,ASS_S_ILPSolverCPSat,8
kneser_graph_6,REPILPSolverCPSat,8
kneser_graph_6,ASSILPSolverGurobi,8
kneser_graph_6,ASS_S_ILPSolverGurobi,8
kneser_graph_6,REPILPSolverGurobi,8
kneser_graph_6,NotEqualSolver,8
kneser_graph_6,AllDifferentSolver,8
kneser_graph_6,PYSATSolver,8
kneser_graph_7,ASSILPSolverCPSat,8
kneser_graph_7,ASS_S_ILPSolverCPSat,8
kneser_graph_7,REPILPSolverCPSat,8
kneser_graph_7,ASSILPSolverGurobi,8
kneser_graph_7,ASS_S_ILPSolverGurobi,8
kneser_graph_7,REPILPSolverGurobi,8
kneser_graph_7,NotEqualSolver,8
kneser_graph_7,AllDifferentSolver,8
kneser_graph_7,PYSATSolver,8
kneser_graph_8,ASSILPSolverCPSat,8
kneser_graph_8,ASS_S_ILPSolverCPSat,8
kneser_graph_8,REPILPSolverCPSat,8
kneser_graph_8,ASSILPSolverGurobi,8
kneser_graph_8,ASS_S_ILPSolverGurobi,8
kneser_graph_8,REPILPSolverGurobi,8
kneser_graph_8,NotEqualSolver,8
kneser_graph_8,AllDifferentSolver,8
kneser_graph_8,PYSATSolver,8
kneser_graph_9,ASSILPSolverCPSat,8
kneser_graph_9,ASS_S_ILPSolverCPSat,8
kneser_graph_9,REPILPSolverCPSat,8
kneser_graph_9,ASSILPSolverGurobi,8
kneser_graph_9,ASS_S_ILPSolverGurobi,8
kneser_graph_9,REPILPSolverGurobi,8
kneser_graph_9,NotEqualSolver,8
kneser_graph_9,AllDifferentSolver,8
kneser_graph_9,PYSATSolver,8
kneser_graph_10,ASSILPSolverCPSat,8
kneser_graph_10,ASS_S_ILPSolverCPSat,8
kneser_graph_10,REPILPSolverCPSat,8
kneser_graph_10,ASSILPSolverGurobi,8
kneser_graph_10,ASS_S_ILPSolverGurobi,8
